LotArea,LotFrontage,TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,Expensive
8450,65.0,856,3,0,0,2,0,0,0
9600,80.0,1262,3,1,0,2,298,0,0
11250,68.0,920,3,1,0,2,0,0,0
9550,60.0,756,3,1,0,3,0,0,0
14260,84.0,1145,4,1,0,3,192,0,0
14115,85.0,796,1,0,0,2,40,0,0
10084,75.0,1686,3,1,0,2,255,0,1
10382,,1107,3,2,0,2,235,0,0
6120,51.0,952,2,2,0,2,90,0,0
7420,50.0,991,2,2,0,1,0,0,0
11200,70.0,1040,3,0,0,1,0,0,0
11924,85.0,1175,4,2,0,3,147,0,1
12968,,912,2,0,0,1,140,176,0
10652,91.0,1494,3,1,0,3,160,0,1
10920,,1253,2,1,0,1,0,0,0
6120,51.0,832,2,0,0,2,48,0,0
11241,,1004,2,1,0,2,0,0,0
10791,72.0,0,2,0,0,2,0,0,0
13695,66.0,1114,3,0,0,2,0,0,0
7560,70.0,1029,3,0,0,1,0,0,0
14215,101.0,1158,4,1,0,3,240,0,1
7449,57.0,637,3,1,0,1,0,0,0
9742,75.0,1777,3,1,0,2,171,0,0
4224,44.0,1040,3,1,0,2,100,0,0
8246,,1060,3,1,0,1,406,0,0
14230,110.0,1566,3,1,0,3,0,0,1
7200,60.0,900,3,0,0,2,222,0,0
11478,98.0,1704,3,1,0,3,0,0,1
16321,47.0,1484,2,2,0,1,288,0,0
6324,60.0,520,1,0,0,1,49,0,0
8500,50.0,649,3,0,0,1,0,0,0
8544,,1228,3,0,0,1,0,0,0
11049,85.0,1234,3,0,0,2,0,0,0
10552,70.0,1398,4,1,0,2,0,0,0
7313,60.0,1561,2,1,0,2,203,0,1
13418,108.0,1117,4,1,0,3,113,0,1
10859,112.0,1097,3,0,0,2,392,0,0
8532,74.0,1297,3,1,0,2,0,0,0
7922,68.0,1057,3,0,0,1,0,0,0
6040,65.0,0,2,0,0,0,0,0,0
8658,84.0,1088,3,1,0,2,0,0,0
16905,115.0,1350,2,2,0,1,0,0,0
9180,,840,2,0,0,2,240,0,0
9200,,938,3,0,0,1,145,0,0
7945,70.0,1150,3,0,0,1,0,0,0
7658,61.0,1752,2,1,0,2,196,0,1
12822,48.0,1434,1,1,0,2,168,198,0
11096,84.0,1656,3,0,0,3,0,0,0
4456,33.0,736,2,0,0,0,0,0,0
7742,66.0,955,3,0,0,1,0,0,0
13869,,794,3,0,0,2,0,0,0
6240,52.0,816,3,1,0,2,112,0,0
8472,110.0,816,2,0,0,2,106,0,0
50271,68.0,1842,0,1,0,3,857,0,1
7134,60.0,384,3,1,0,2,0,0,0
10175,100.0,1425,3,1,0,2,0,0,0
2645,24.0,970,3,0,0,2,115,0,0
11645,89.0,860,3,0,0,2,0,0,0
13682,66.0,1410,3,1,0,3,192,0,1
7200,60.0,780,2,0,0,1,196,0,0
13072,63.0,1158,3,0,0,2,0,0,0
7200,60.0,530,3,0,0,1,0,0,0
6442,44.0,1370,2,1,0,2,120,0,0
10300,50.0,576,3,0,0,2,12,0,0
9375,,1057,3,0,0,2,576,0,0
9591,76.0,1143,4,1,0,3,192,0,1
19900,,1947,3,1,0,2,301,0,0
10665,72.0,1453,3,0,0,2,144,0,0
4608,47.0,747,2,0,0,1,0,0,0
15593,81.0,1304,3,1,0,2,0,0,0
13651,95.0,2223,3,2,0,2,300,0,0
7599,69.0,845,2,0,0,2,0,0,0
10141,74.0,832,3,1,0,2,0,291,0
10200,85.0,1086,3,0,0,2,0,0,0
5790,60.0,840,3,0,0,1,0,0,0
1596,21.0,462,2,0,0,1,120,0,0
8475,,952,2,0,0,1,0,0,0
8635,50.0,672,2,0,0,1,0,0,0
10778,72.0,1768,4,0,0,0,0,0,0
10440,60.0,440,2,0,0,2,74,0,0
13000,100.0,896,4,1,0,1,0,252,0
4500,32.0,1237,2,0,0,2,0,0,0
10206,78.0,1563,3,1,0,3,144,0,0
8892,80.0,1065,3,0,0,2,74,0,0
8530,,384,3,1,0,2,120,0,0
16059,121.0,1288,4,1,0,2,127,0,1
11911,122.0,684,3,1,0,2,100,0,0
3951,40.0,612,2,0,0,2,0,0,0
8470,105.0,1013,2,0,0,0,0,0,0
8070,60.0,990,3,0,0,0,0,0,0
7200,60.0,0,2,0,0,2,0,0,0
8500,85.0,1235,2,0,0,2,0,0,0
13360,80.0,876,2,0,0,2,0,0,0
7200,60.0,1214,4,1,0,2,0,99,0
9337,69.0,824,3,0,0,2,0,0,0
9765,,680,3,1,0,2,232,0,0
10264,78.0,1588,3,0,0,2,158,0,0
10921,73.0,960,3,0,0,1,120,0,0
10625,85.0,458,2,0,0,1,0,0,0
9320,77.0,950,3,0,0,0,352,0,0
10603,,1610,3,2,0,2,168,0,0
9206,77.0,741,3,1,0,2,192,0,0
7018,64.0,0,4,0,0,2,0,0,0
10402,94.0,1226,3,0,0,3,0,0,0
7758,,1040,4,2,0,1,0,184,0
9375,75.0,1053,3,1,0,2,140,0,0
10800,60.0,641,2,0,0,1,0,0,0
6000,50.0,789,2,0,0,1,0,0,0
8500,85.0,793,3,0,0,0,0,0,0
11751,105.0,1844,3,1,0,2,0,0,0
9525,75.0,994,4,0,0,1,182,0,0
7750,,384,3,1,0,2,180,0,0
9965,77.0,1264,4,1,0,3,120,168,1
21000,,1809,3,2,0,2,166,0,0
7259,61.0,1028,3,1,0,1,224,0,1
3230,34.0,729,2,1,0,2,0,0,0
11616,,1092,3,1,0,1,0,0,0
8536,74.0,1125,2,0,0,2,80,0,0
12376,90.0,1673,5,2,0,3,367,0,1
8461,65.0,728,3,1,0,2,0,0,0
21453,,938,1,2,0,2,0,0,0
6060,50.0,732,3,0,0,1,0,0,0
9464,75.0,1080,3,0,0,1,0,130,0
7892,55.0,1199,2,0,0,2,0,0,0
17043,48.0,1362,3,1,0,2,192,0,0
6780,60.0,520,2,0,0,0,53,0,0
4928,,1078,2,1,0,2,0,0,0
4388,55.0,672,3,1,0,0,0,0,0
7590,69.0,660,3,1,0,2,188,0,0
8973,69.0,1008,3,0,0,2,0,0,0
14200,88.0,924,4,2,0,2,105,0,0
12224,,992,3,1,0,2,24,0,0
7388,75.0,1063,3,0,0,2,0,0,0
6853,,1267,2,0,0,2,192,0,0
10335,78.0,1461,3,1,0,2,0,0,0
10400,80.0,1304,3,1,0,2,98,0,0
10355,,1214,3,1,0,1,0,0,0
11070,82.0,1907,5,0,0,3,0,0,0
9066,73.0,1004,3,2,0,3,224,0,0
15426,65.0,928,3,0,0,2,276,0,0
10500,70.0,864,3,1,0,0,0,0,0
11645,78.0,1734,3,0,0,2,160,0,1
8520,71.0,910,4,0,0,2,0,0,0
10335,78.0,1490,3,0,0,2,144,0,0
9100,70.0,1728,6,0,0,2,0,0,0
2522,24.0,970,3,0,0,2,0,0,0
6120,51.0,715,2,0,0,1,48,0,0
9505,,884,3,1,0,2,144,0,0
7500,63.0,1080,3,0,0,0,0,0,0
6240,,896,3,0,0,1,200,0,0
10356,120.0,969,3,0,0,2,0,0,0
13891,107.0,1710,2,1,0,3,0,0,1
14803,,825,4,1,0,2,0,0,0
13500,,1602,1,1,0,2,409,0,0
11340,84.0,1200,4,0,0,1,0,0,0
9600,60.0,572,2,0,0,0,0,0,0
7200,60.0,0,2,0,0,2,0,0,0
12003,92.0,774,4,1,0,3,0,0,1
12552,100.0,991,3,1,0,2,0,0,1
19378,134.0,1392,4,1,0,2,239,0,1
11120,,1232,3,0,0,2,0,0,0
13688,110.0,1572,3,2,0,3,400,0,1
12182,95.0,1541,3,1,0,2,0,0,0
5500,55.0,882,1,0,0,0,0,0,0
5400,40.0,1149,3,0,0,1,0,0,0
10106,62.0,644,4,0,0,0,140,0,0
10708,,1617,2,3,0,1,476,142,0
10562,86.0,1582,3,1,0,3,178,0,1
8244,62.0,840,3,1,0,2,100,0,0
16669,,1686,2,1,0,2,574,0,0
12358,,720,2,0,0,2,237,0,0
31770,141.0,1080,3,2,0,2,210,0,0
5306,44.0,1064,2,1,0,2,441,0,0
10197,80.0,1362,3,1,0,2,0,0,0
12416,47.0,1606,3,1,0,2,192,0,0
12615,84.0,1202,4,1,0,2,0,0,0
10029,97.0,1151,4,1,0,2,0,192,0
13650,,1052,4,1,0,2,0,0,0
17423,63.0,2216,1,1,0,3,0,0,1
8520,60.0,968,2,0,0,2,0,0,0
2117,,756,3,1,0,2,0,0,0
7588,54.0,793,4,1,0,1,0,0,0
9060,60.0,0,3,1,0,1,116,0,0
11426,63.0,1362,3,0,0,2,280,0,0
7438,92.0,504,3,0,0,2,104,0,0
22950,90.0,1107,4,2,0,3,0,410,1
9947,,1188,3,0,0,2,168,0,0
10410,60.0,660,3,0,0,1,0,0,0
7018,64.0,1086,2,2,0,2,120,0,0
4923,41.0,1593,0,1,0,2,0,224,1
10570,70.0,853,3,2,0,2,0,0,1
7472,,725,4,0,0,2,0,0,0
9017,68.0,1431,3,0,0,2,0,0,0
2522,24.0,970,3,0,0,2,0,0,0
7180,60.0,864,3,0,0,1,0,0,0
2280,24.0,855,3,1,0,2,87,0,0
9416,79.0,1726,3,1,0,3,171,266,1
25419,174.0,1360,4,1,512,2,0,0,0
5520,92.0,755,5,0,0,0,0,0,0
9591,76.0,1713,3,1,0,3,0,170,1
8546,80.0,1121,2,0,0,2,132,0,0
10125,75.0,1196,3,2,0,2,238,0,0
7000,50.0,617,2,0,0,1,0,0,0
4438,,848,1,1,0,2,149,0,0
3500,50.0,720,2,0,0,1,0,0,0
11851,99.0,1424,3,0,0,2,0,0,0
13673,40.0,1140,3,1,0,1,0,0,0
12493,,1100,3,1,0,1,355,0,0
14364,,1157,3,1,0,2,60,154,1
8250,75.0,1092,3,0,0,2,0,0,0
5604,67.0,864,2,0,0,0,0,0,0
10420,83.0,1212,3,0,0,2,100,0,0
8640,72.0,900,3,1,0,2,168,0,1
13568,43.0,990,3,0,0,2,224,0,0
10900,,689,3,0,0,1,0,0,0
10011,72.0,1070,2,1,0,1,0,0,0
8450,65.0,1436,3,0,0,2,139,0,0
9906,57.0,686,3,0,0,1,0,0,0
15660,,798,3,2,0,2,0,0,1
3010,43.0,1248,2,0,0,2,108,0,0
8990,73.0,1498,2,0,0,2,351,0,0
8068,,1010,4,1,0,2,120,0,0
11475,85.0,713,3,1,0,2,209,0,0
10500,70.0,864,2,0,0,2,216,0,0
13472,103.0,2392,3,1,0,3,248,0,1
1680,21.0,630,3,0,0,1,0,0,0
9950,82.0,1203,4,1,0,3,224,0,1
1869,21.0,483,2,0,0,1,0,0,0
8521,70.0,912,3,1,0,1,0,0,0
3182,43.0,1373,2,1,0,2,143,0,0
8760,73.0,1194,3,0,0,1,0,0,0
15138,174.0,1462,4,1,0,3,0,0,1
1680,21.0,483,2,1,0,1,0,0,0
10650,75.0,894,3,0,0,1,365,0,0
7851,,860,4,2,0,2,288,0,0
1680,21.0,483,2,0,0,1,0,0,0
8773,65.0,1414,3,0,0,2,132,0,0
9453,,996,3,0,0,2,370,0,0
12030,93.0,1694,3,0,0,3,168,0,1
8741,52.0,735,3,1,0,1,0,0,0
9000,75.0,1566,3,0,0,2,144,0,1
3880,40.0,686,2,0,0,0,58,0,0
5000,63.0,540,3,0,0,1,0,0,0
10762,75.0,626,3,1,0,1,0,0,0
8880,,948,3,2,0,2,0,0,0
10400,80.0,1845,3,1,0,2,197,0,0
9142,69.0,1020,4,0,0,1,0,0,0
11310,75.0,1367,2,1,0,2,0,0,0
11317,72.0,840,3,0,0,2,144,0,0
159000,,1444,4,2,0,2,0,0,1
5350,55.0,728,3,0,0,0,263,0,0
4750,44.0,1573,2,1,0,2,123,153,0
8366,65.0,798,3,0,0,2,138,0,0
9350,85.0,1302,3,0,0,1,333,0,0
8400,70.0,1314,3,0,0,1,250,0,0
8738,66.0,975,4,1,0,2,192,0,0
8791,64.0,864,3,0,0,2,216,0,0
8814,68.0,1604,3,1,0,2,123,0,0
12435,80.0,963,3,1,0,2,0,0,0
12702,70.0,0,2,0,0,1,0,0,0
19296,120.0,1362,3,1,0,2,0,0,0
9588,69.0,1482,3,1,0,3,0,0,1
8471,88.0,506,3,1,0,2,292,0,0
5500,50.0,926,3,0,0,2,0,0,0
5232,30.0,680,2,0,0,2,0,0,0
12090,78.0,1422,3,1,0,2,276,0,0
11207,70.0,802,3,1,0,2,95,0,0
8400,60.0,720,4,1,0,1,262,0,0
6900,71.0,740,2,1,0,1,0,0,0
7917,,1143,3,1,0,1,370,0,0
10728,84.0,1095,3,1,0,3,192,0,1
39104,73.0,1385,2,2,0,2,81,0,0
11764,92.0,1152,4,1,0,3,132,0,1
9600,80.0,1240,3,1,0,1,289,0,0
8314,76.0,816,2,0,0,1,168,0,0
7264,55.0,952,3,0,0,2,74,144,0
9196,129.0,1560,3,0,0,2,100,0,0
19138,140.0,864,2,0,0,2,0,0,0
14450,107.0,2121,3,1,0,3,124,142,1
10005,83.0,1160,4,1,0,2,288,0,0
11287,82.0,807,3,1,0,2,0,0,0
7200,60.0,1262,2,0,0,2,0,0,0
5063,34.0,1314,2,1,0,2,172,0,0
9612,74.0,1468,3,1,0,3,210,0,0
8012,50.0,1575,2,0,0,2,0,0,0
4251,35.0,625,2,0,0,2,0,0,0
9786,77.0,912,3,1,0,2,0,128,0
8125,,858,3,0,0,0,0,0,0
9819,,882,3,0,0,1,0,0,0
8730,60.0,698,3,0,0,1,0,259,0
15611,120.0,1079,3,1,0,2,0,0,0
5687,55.0,780,6,0,0,0,0,0,0
11409,60.0,768,3,1,0,1,0,160,0
16659,,795,3,1,0,2,0,0,0
9600,80.0,1416,3,2,0,2,110,0,0
7937,37.0,1003,3,0,0,2,120,0,0
13710,75.0,910,4,0,0,1,289,0,0
7399,66.0,975,3,1,0,2,0,198,0
11700,90.0,702,3,1,0,2,224,0,0
14000,80.0,1092,3,1,0,1,0,0,0
15750,90.0,1165,2,2,0,1,0,0,0
16226,66.0,1028,4,1,0,2,208,0,1
13704,118.0,1541,3,1,0,3,468,0,0
9800,70.0,894,3,0,0,2,256,0,0
18386,87.0,1470,3,1,0,3,302,0,1
10386,80.0,2000,3,0,0,3,168,0,1
13474,116.0,700,4,1,0,3,127,0,0
7920,,319,3,0,0,0,0,0,0
12342,,861,1,0,0,2,158,0,0
12378,90.0,1896,3,3,0,3,208,0,1
7685,,697,3,1,0,2,190,0,0
8000,50.0,972,2,1,0,1,0,0,0
7800,65.0,793,3,1,0,2,0,271,0
215245,150.0,2136,3,2,0,2,0,0,1
9600,60.0,728,3,1,0,2,0,0,0
7795,71.0,716,3,1,0,2,100,0,0
13005,94.0,845,4,1,0,2,288,0,1
9000,75.0,1088,3,1,0,3,208,0,1
9900,90.0,1347,4,1,0,3,340,0,1
14115,,1372,3,2,0,2,233,0,0
16259,111.0,1249,4,0,0,3,240,0,1
12099,99.0,1136,4,1,0,3,184,0,1
10380,86.0,1502,4,1,0,2,201,0,1
5820,49.0,1162,3,0,0,1,142,0,0
11275,96.0,710,5,1,0,2,240,0,0
5000,50.0,720,2,0,0,2,0,0,0
10846,32.0,1719,1,2,0,2,122,0,1
11600,80.0,1383,3,0,0,1,0,0,0
11888,,844,5,0,0,2,0,0,0
6402,60.0,596,3,0,0,1,0,0,0
10624,,1728,6,0,0,1,155,0,0
8176,70.0,1056,3,0,0,1,0,0,0
10655,85.0,3206,3,1,0,3,0,0,1
8198,59.0,1358,2,1,0,2,192,0,0
9042,59.0,943,3,2,0,2,100,0,0
164660,,1499,3,2,0,2,670,0,0
14157,86.0,1922,3,1,0,3,178,0,1
9135,70.0,1536,3,0,0,2,192,0,0
14145,91.0,1208,3,0,0,2,108,0,0
12400,66.0,1215,3,0,0,1,0,234,0
14191,85.0,967,4,0,0,2,135,0,0
8400,60.0,721,2,0,0,1,250,0,0
8544,,0,2,0,0,2,0,0,0
8849,63.0,1684,2,1,0,2,495,0,1
2592,36.0,536,3,0,0,1,182,0,0
6435,65.0,972,3,1,0,1,0,0,0
12772,,958,2,0,0,1,0,0,0
17600,,1478,3,2,0,2,0,0,0
2448,36.0,764,2,0,0,2,0,0,0
20431,56.0,1848,4,2,0,3,0,0,1
7820,68.0,1869,2,1,0,2,210,0,1
5271,,1453,2,1,0,2,0,184,0
9084,60.0,616,3,0,0,1,48,0,0
8520,60.0,624,2,0,0,2,106,0,0
8400,60.0,940,2,2,0,1,0,0,0
11249,105.0,1200,3,0,0,2,0,0,0
9248,,1158,3,0,0,2,120,0,0
4224,44.0,1142,3,1,0,2,536,0,0
6930,92.0,1062,3,0,0,1,168,0,0
12011,78.0,1086,3,1,0,2,208,374,1
7540,,888,2,1,0,2,0,192,0
9144,,883,3,0,0,1,0,0,0
7301,64.0,0,4,1,0,2,0,0,0
1680,21.0,483,2,0,0,1,250,0,0
18800,,796,3,1,0,2,306,0,0
10690,59.0,672,3,0,0,1,0,0,0
9500,,1394,3,2,0,2,0,185,0
9150,101.0,1099,3,1,0,1,64,0,0
7800,78.0,1268,2,1,0,1,0,0,0
9830,,1063,3,1,0,2,364,182,0
8121,,953,3,1,0,2,100,0,0
17120,80.0,0,4,1,0,2,0,0,0
7175,50.0,744,2,0,0,1,353,90,0
10634,79.0,608,3,0,0,1,66,0,0
8200,65.0,847,4,1,0,2,100,0,0
10020,,683,1,0,0,0,0,0,0
8846,57.0,870,2,0,0,2,0,0,0
11143,102.0,1580,4,1,0,2,159,0,1
11394,88.0,1856,1,1,0,3,113,0,1
8123,60.0,982,3,1,0,2,100,0,0
5000,50.0,1026,3,1,0,1,0,0,0
7200,60.0,1293,2,1,0,2,216,0,0
9245,79.0,939,3,0,0,2,144,0,0
9000,60.0,784,2,0,0,2,0,0,0
53107,,1580,3,2,0,2,216,0,0
3182,43.0,1256,2,1,0,2,146,144,0
8410,58.0,658,5,0,0,0,0,0,0
7200,72.0,1041,3,1,0,1,296,0,0
9382,93.0,1468,3,0,0,2,120,0,0
12474,96.0,1682,3,1,0,3,196,0,1
8405,50.0,861,4,0,0,1,0,0,0
12209,71.0,804,3,1,0,2,125,0,0
8339,,0,3,0,0,1,0,0,0
7446,,788,2,2,0,0,0,0,0
10134,60.0,735,2,0,0,1,0,0,0
9571,68.0,1144,3,0,0,1,44,0,0
7200,60.0,894,2,0,0,2,215,0,0
7590,69.0,864,4,1,0,1,0,0,0
8967,60.0,961,2,0,0,1,0,0,0
8125,65.0,1092,2,0,0,2,0,0,0
14963,38.0,1260,1,2,0,2,120,224,0
8767,65.0,1310,3,1,0,2,0,0,0
10200,60.0,672,2,0,0,1,168,0,0
12090,93.0,1141,4,1,0,2,144,0,1
10364,,806,3,1,0,2,0,0,0
9991,,1281,3,1,0,2,120,0,0
10480,51.0,1064,3,0,0,1,0,0,0
15576,63.0,840,4,0,0,1,0,0,0
14154,109.0,1063,3,1,0,3,192,0,1
10800,85.0,1034,3,1,0,3,0,0,1
9571,68.0,1276,3,0,0,1,0,0,0
34650,100.0,1056,3,0,0,2,264,0,0
4403,,1470,2,1,0,2,0,0,0
8960,56.0,1008,2,1,0,2,0,0,0
11228,59.0,1080,3,1,0,3,196,0,0
8899,73.0,1340,3,0,0,2,100,0,0
7844,74.0,672,3,1,0,2,0,0,0
22420,86.0,1370,4,1,0,3,0,0,0
8160,60.0,756,3,0,0,1,0,0,0
8450,65.0,1056,3,1,0,1,0,0,0
7060,78.0,1344,2,0,0,4,0,0,0
16635,,1602,3,1,0,2,240,0,0
21750,100.0,988,2,0,0,2,0,0,0
9200,80.0,1470,4,1,0,3,0,0,1
9000,72.0,1196,2,1,0,1,0,0,0
3378,60.0,651,3,2,0,1,0,0,0
12800,,1518,2,1,0,2,80,396,1
8593,77.0,907,3,0,0,1,0,0,0
6762,64.0,1208,2,0,0,2,105,0,0
11457,130.0,1392,3,1,0,2,0,0,0
1680,21.0,483,2,0,0,1,0,0,0
5586,60.0,901,4,0,0,0,0,0,0
1920,24.0,765,2,0,0,2,240,0,0
10839,100.0,926,3,1,0,2,0,0,0
1890,21.0,630,1,0,0,0,88,0,0
10667,43.0,799,3,1,0,2,158,0,0
4400,40.0,648,2,0,0,2,0,0,0
6000,50.0,884,2,0,0,1,0,0,0
4280,40.0,440,2,1,0,1,0,0,0
12354,67.0,684,3,0,0,2,0,0,0
15431,105.0,3094,2,2,0,3,0,170,1
12108,92.0,1440,4,0,0,0,0,0,0
6240,52.0,1078,3,1,0,2,0,0,0
3922,53.0,1258,2,1,0,3,144,0,0
8750,70.0,915,4,1,0,2,144,0,0
9855,73.0,1436,3,1,0,2,0,0,0
16492,137.0,1517,2,1,0,2,0,0,0
11214,,930,4,1,0,2,89,0,0
8600,50.0,780,3,1,0,1,0,0,0
6000,50.0,649,2,0,0,1,0,0,0
5684,70.0,813,2,0,0,1,0,0,0
70761,62.0,1533,2,2,0,2,200,0,1
9303,,872,3,0,0,2,144,0,0
9000,75.0,768,3,0,0,2,0,0,0
9297,63.0,1728,4,0,0,2,0,0,0
9600,80.0,1242,3,1,0,2,0,0,0
4571,34.0,624,4,0,0,3,0,0,0
53227,,1364,2,2,0,2,224,0,1
5100,,588,3,1,0,1,192,0,0
7015,,709,3,1,0,1,0,0,0
8004,75.0,832,3,0,0,2,0,0,1
7200,60.0,560,3,0,0,2,256,0,0
8281,60.0,864,3,1,0,1,0,0,0
11988,74.0,715,3,1,0,1,0,0,0
8430,60.0,1040,3,0,0,0,0,0,0
3072,,1375,2,1,0,2,144,0,0
10628,85.0,1277,2,1,0,2,0,176,0
9480,79.0,728,3,2,0,1,168,0,0
11428,98.0,1626,3,1,0,3,0,0,0
9291,76.0,832,3,0,0,2,144,0,0
6820,,1488,1,0,0,2,0,140,0
11952,92.0,808,3,1,0,2,0,276,0
3675,35.0,547,2,0,0,2,0,0,0
14977,110.0,1976,2,1,0,3,250,0,1
5330,41.0,1494,2,0,0,2,96,0,1
8480,80.0,970,2,0,0,2,0,192,0
13125,75.0,1478,3,1,0,2,140,0,0
13693,105.0,2153,3,1,0,3,414,0,1
10637,79.0,1705,3,1,0,3,208,0,1
5925,50.0,907,2,0,0,2,0,0,0
16033,98.0,1833,3,1,0,3,519,0,1
11846,72.0,1792,2,1,0,3,206,0,1
